query,label
What is phishing?,CHAT
How does social engineering work?,CHAT
What are the types of cyberattacks?,CHAT
Explain malware and viruses,CHAT
What is ransomware?,CHAT
How to create strong passwords?,CHAT
What is two-factor authentication?,CHAT
Tell me about email security,CHAT
How to spot fake emails?,CHAT
What are cybersecurity best practices?,CHAT
"Hello, can you help me?",CHAT
Hi there!,CHAT
Good morning,CHAT
Can you explain cybersecurity to me?,CHAT
I need help understanding threats,CHAT
What should I know about online safety?,CHAT
How can I protect myself online?,CHAT
What are the latest cyber threats?,CHAT
Can you teach me about security awareness?,CHAT
I want to learn about phishing detection,CHAT
Explain the difference between phishing and spear phishing,CHAT
How do hackers steal personal information?,CHAT
What is a security awareness training?,CHAT
How to recognize suspicious websites?,CHAT
What are the signs of a phishing email?,CHAT
How does encryption work?,CHAT
What is endpoint security?,CHAT
Tell me about network security,CHAT
How to secure mobile devices?,CHAT
What are security certificates?,CHAT
I have a question about cybersecurity,CHAT
Can you help me understand threats?,CHAT
What do you recommend for security?,CHAT
How can organizations improve security?,CHAT
What are common security mistakes?,CHAT
How to train employees on security?,CHAT
What is security culture?,CHAT
How to respond to incidents?,CHAT
What are security policies?,CHAT
How to assess security risks?,CHAT
Show me click trends,REPORT
What are the current click statistics?,REPORT
Display click analytics,REPORT
Generate click report,REPORT
How many clicks this week?,REPORT
Who clicked the most links?,REPORT
Show user activity data,REPORT
Current click metrics,REPORT
Click tracking dashboard,REPORT
Recent click activity,REPORT
Which users are most vulnerable?,REPORT
Show top clicking users,REPORT
User behavior analysis,REPORT
Display user statistics,REPORT
Who needs more training?,REPORT
Show risk assessment by user,REPORT
Generate user activity report,REPORT
List most active users,REPORT
User engagement metrics,REPORT
Show training effectiveness,REPORT
Email open rates,REPORT
Show flagged emails,REPORT
Display email tracking data,REPORT
How many emails were flagged?,REPORT
Email security metrics,REPORT
Generate flagged email report,REPORT
Show email analytics,REPORT
Track email performance,REPORT
Display email statistics,REPORT
Email campaign results,REPORT
Generate security report,REPORT
Show dashboard,REPORT
Display analytics,REPORT
Current security status,REPORT
Show metrics,REPORT
Generate summary report,REPORT
Display statistics,REPORT
Show trends,REPORT
Analytics overview,REPORT
Security posture report,REPORT
Show me the data,REPORT
Display current stats,REPORT
What's the status?,REPORT
Generate CSV report,REPORT
Export analytics data,REPORT
Show recent activity,REPORT
Display logs,REPORT
Current numbers,REPORT
Show performance metrics,REPORT
Generate weekly report,REPORT
